INFO 07-24 02:56:57 [__init__.py:244] Automatically detected platform cuda.
Finished loading data
Computing base log probabilities...
Processing attribute 1/20: p=0.2580
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2935
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Skipping attribute 5 (p=0.0)
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2934
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3356
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.2901
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3238
Skipping attribute 17 (p=0.0)
Processing attribute 19/20: p=0.2487
Skipping attribute 19 (p=0.0)
Accuracy: 0.8320 (832/1000)
Accuracy: 0.8320 (832/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2606
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2576
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Skipping attribute 5 (p=0.0)
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2542
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3587
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.2894
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3215
Skipping attribute 17 (p=0.0)
Processing attribute 19/20: p=0.2565
Skipping attribute 19 (p=0.0)
Accuracy: 0.8310 (831/1000)
Accuracy: 0.8310 (831/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Skipping attribute 2 (p=0.0)
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2454
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2556
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3638
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3313
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3263
Processing attribute 18/20: p=0.2485
Processing attribute 19/20: p=0.2868
Skipping attribute 19 (p=0.0)
Accuracy: 0.8180 (818/1000)
Accuracy: 0.8180 (818/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2461
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2495
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2637
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3620
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3284
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3257
Skipping attribute 17 (p=0.0)
Processing attribute 19/20: p=0.2803
Skipping attribute 19 (p=0.0)
Accuracy: 0.8310 (831/1000)
Accuracy: 0.8310 (831/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2470
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2595
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Skipping attribute 8 (p=0.0)
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3534
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3167
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3322
Processing attribute 18/20: p=0.2459
Processing attribute 19/20: p=0.2972
Skipping attribute 19 (p=0.0)
Accuracy: 0.8280 (828/1000)
Accuracy: 0.8280 (828/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2536
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2587
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Skipping attribute 8 (p=0.0)
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3451
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3180
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3307
Processing attribute 18/20: p=0.2487
Processing attribute 19/20: p=0.2993
Skipping attribute 19 (p=0.0)
Accuracy: 0.8280 (828/1000)
Accuracy: 0.8280 (828/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Skipping attribute 2 (p=0.0)
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2616
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2484
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3424
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3171
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3333
Processing attribute 18/20: p=0.2542
Processing attribute 19/20: p=0.2980
Skipping attribute 19 (p=0.0)
Accuracy: 0.8180 (818/1000)
Accuracy: 0.8180 (818/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Skipping attribute 2 (p=0.0)
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2569
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2492
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3411
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3220
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3295
Processing attribute 18/20: p=0.2554
Processing attribute 19/20: p=0.2930
Skipping attribute 19 (p=0.0)
Accuracy: 0.8180 (818/1000)
Accuracy: 0.8180 (818/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Skipping attribute 2 (p=0.0)
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2524
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2591
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3376
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3214
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3285
Processing attribute 18/20: p=0.2568
Processing attribute 19/20: p=0.2911
Skipping attribute 19 (p=0.0)
Accuracy: 0.8170 (817/1000)
Accuracy: 0.8170 (817/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Skipping attribute 2 (p=0.0)
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2534
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2598
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3374
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3258
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3307
Processing attribute 18/20: p=0.2598
Processing attribute 19/20: p=0.2886
Skipping attribute 19 (p=0.0)
Accuracy: 0.8170 (817/1000)
Accuracy: 0.8170 (817/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2531
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Skipping attribute 5 (p=0.0)
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2653
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3330
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3152
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3188
Processing attribute 18/20: p=0.2559
Processing attribute 19/20: p=0.2738
Skipping attribute 19 (p=0.0)
Accuracy: 0.8260 (826/1000)
Accuracy: 0.8260 (826/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2576
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2558
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Skipping attribute 5 (p=0.0)
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2665
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3357
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3167
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3169
Skipping attribute 17 (p=0.0)
Processing attribute 19/20: p=0.2697
Skipping attribute 19 (p=0.0)
Accuracy: 0.8310 (831/1000)
Accuracy: 0.8310 (831/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2604
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2543
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2681
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3375
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3216
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3176
Skipping attribute 17 (p=0.0)
Processing attribute 19/20: p=0.2748
Skipping attribute 19 (p=0.0)
Accuracy: 0.8330 (833/1000)
Accuracy: 0.8330 (833/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2607
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2556
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2681
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3353
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3186
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3160
Skipping attribute 17 (p=0.0)
Processing attribute 19/20: p=0.2724
Skipping attribute 19 (p=0.0)
Accuracy: 0.8330 (833/1000)
Accuracy: 0.8330 (833/1000)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Skipping attribute 0 (p=0.0)
Skipping attribute 1 (p=0.0)
Processing attribute 3/20: p=0.2627
Skipping attribute 3 (p=0.0)
Skipping attribute 4 (p=0.0)
Processing attribute 6/20: p=0.2552
Skipping attribute 6 (p=0.0)
Skipping attribute 7 (p=0.0)
Processing attribute 9/20: p=0.2668
Skipping attribute 9 (p=0.0)
Processing attribute 11/20: p=0.3407
Skipping attribute 11 (p=0.0)
Skipping attribute 12 (p=0.0)
Skipping attribute 13 (p=0.0)
Processing attribute 15/20: p=0.3183
Skipping attribute 15 (p=0.0)
Processing attribute 17/20: p=0.3179
Skipping attribute 17 (p=0.0)
Processing attribute 19/20: p=0.2738
Skipping attribute 19 (p=0.0)
Accuracy: 0.8330 (833/1000)
Accuracy: 0.8330 (833/1000)
Results saved to ../results/persona_results.jsonl
